id,simulation_id,frequency,G_prime,G_double_prime
408,2,0.03319519,0.5268522,117.2458
409,2,0.03017744,0.4357752,106.5912
410,2,0.02743404,0.3603917,96.90423
411,2,0.02494003,0.2980137,88.09709
412,2,0.02267276,0.2464083,80.09003
413,2,0.0206116,0.2037226,72.81044
414,2,0.01873782,0.1684201,66.19231
415,2,0.01703438,0.1392273,60.17557
416,2,0.0154858,0.1150893,54.70563
417,2,0.014078,0.09513251,49.73282
418,2,0.01279818,0.07863379,45.21197
419,2,0.01163471,0.06499472,41.10203
420,2,0.01057701,0.0537202,37.36566
421,2,0.009615463,0.04440065,33.96892
422,2,0.00874133,0.03669734,30.88094
423,2,0.007946663,0.03033015,28.07366
424,2,0.00722424,0.02506745,25.52156
425,2,0.00656749,0.02071773,23.20147
426,2,0.005970446,0.01712266,21.09227
427,2,0.005427678,0.01415134,19.17482
428,2,0.004934253,0.01169559,17.43167
429,2,0.004485684,0.009665954,15.84699
430,2,0.004077895,0.007988515,14.40636
431,2,0.003707177,0.006602162,13.0967
432,2,0.003370161,0.00545639,11.9061
433,2,0.003063783,0.004509452,10.82373
434,2,0.002785257,0.003726847,9.839758
435,2,0.002532052,0.003080057,8.945237
436,2,0.002301865,0.002545514,8.132035
437,2,0.002092605,0.002103739,7.392761
438,2,0.001902368,0.001738633,6.720693
439,2,0.001729426,0.001436891,6.109721
440,2,0.001572205,0.001187516,5.554293
441,2,0.001429277,0.0009814199,5.049357
442,2,0.001299343,0.0008110921,4.590325
443,2,0.001181221,0.0006703249,4.173023
444,2,0.001073837,0.0005539881,3.793658
445,2,0.0009762156,0.0004578418,3.44878
446,3,100000000.0,10423150.0,9399718.0
447,3,90909090.0,9940908.0,8958561.0
448,3,82644630.0,9481094.0,8537013.0
449,3,75131480.0,9042686.0,8134771.0
450,3,68301350.0,8624704.0,7750705.0
451,3,62092130.0,8226215.0,7383720.0
452,3,56447390.0,7846341.0,7033164.0
453,3,51315810.0,7484246.0,6698206.0
454,3,46650740.0,7139137.0,6377889.0
455,3,42409760.0,6810272.0,6071603.0
456,3,38554330.0,6496945.0,5778499.0
457,3,35049390.0,6198502.0,5498010.0
458,3,31863080.0,5914324.0,5229268.0
459,3,28966440.0,5643842.0,4971782.0
460,3,26333130.0,5386527.0,4725088.0
461,3,23939200.0,5141892.0,4488208.0
462,3,21762910.0,4909498.0,4260900.0
463,3,19784470.0,4688946.0,4042397.0
464,3,17985880.0,4479884.0,3832507.0
465,3,16350800.0,4281999.0,3630528.0
466,3,14864360.0,4095025.0,3436290.0
467,3,13513060.0,3918723.0,3249058.0
468,3,12284600.0,3752897.0,3069038.0
469,3,11167820.0,3597366.0,2895496.0
470,3,10152560.0,3451968.0,2728566.0
471,3,9229600.0,3316541.0,2568009.0
472,3,8390545.0,3190909.0,2413823.0
473,3,7627768.0,3074865.0,2265827.0
474,3,6934335.0,2968163.0,2124348.0
475,3,6303941.0,2870494.0,1989060.0
476,3,5730855.0,2781489.0,1860326.0
477,3,5209868.0,2700708.0,1738276.0
478,3,4736244.0,2627644.0,1622778.0
479,3,4305676.0,2561737.0,1514072.0
480,3,3914251.0,2502381.0,1411998.0
481,3,3558410.0,2448952.0,1316524.0
482,3,3234918.0,2400819.0,1227532.0
483,3,2940835.0,2357368.0,1144869.0
484,3,2673486.0,2318015.0,1068137.0
485,3,2430442.0,2282223.0,997144.7
486,3,2209493.0,2249507.0,931586.3
487,3,2008630.0,2219438.0,871101.2
488,3,1826027.0,2191644.0,815290.9
489,3,1660025.0,2165807.0,763891.3
490,3,1509113.0,2141660.0,716560.2
491,3,1371921.0,2118977.0,672899.6
492,3,1247201.0,2097571.0,632693.5
493,3,1133819.0,2077287.0,595653.6
494,3,1030745.0,2057994.0,561467.2
495,3,937040.6,2039584.0,529936.9
496,3,851855.1,2021965.0,500840.9
497,3,774413.8,2005062.0,473985.4
498,3,704012.5,1988807.0,449188.2
499,3,640011.4,1973143.0,426278.6
500,3,581828.5,1958020.0,405105.0
501,3,528935.0,1943395.0,385532.1
502,3,480850.0,1929228.0,367436.4
503,3,437136.4,1915485.0,350705.3
504,3,397396.7,1902133.0,335236.0
505,3,361269.7,1889144.0,320934.1
506,3,328427.0,1876490.0,307713.6
507,3,298570.0,1864148.0,295495.7
508,3,271427.3,1852095.0,284207.9
509,3,246752.1,1840309.0,273784.1
510,3,224320.1,1828771.0,264163.7
511,3,203927.3,1817461.0,255290.9
512,3,185388.5,1806362.0,247114.6
513,3,168535.0,1795456.0,239587.9
514,3,153213.6,1784729.0,232667.6
515,3,139285.1,1774163.0,226313.7
516,3,126622.8,1763744.0,220489.5
517,3,115111.7,1753457.0,215160.9
518,3,104647.0,1743289.0,210296.2
519,3,95133.61,1733227.0,205866.2
520,3,86485.1,1723258.0,201843.6
521,3,78622.82,1713371.0,198203.1
522,3,71475.29,1703553.0,194921.3
523,3,64977.54,1693796.0,191976.5
524,3,59070.49,1684087.0,189348.7
525,3,53700.44,1674419.0,187019.6
526,3,48818.59,1664780.0,184972.4
527,3,44380.53,1655163.0,183191.3
528,3,40345.94,1645558.0,181662.0
529,3,36678.13,1635957.0,180371.2
530,3,33343.75,1626351.0,179306.1
531,3,30312.5,1616730.0,178455.0
532,3,27556.82,1607088.0,177806.5
533,3,25051.65,1597417.0,177349.8
534,3,22774.23,1587708.0,177074.8
535,3,20703.85,1577954.0,176971.7
536,3,18821.68,1568150.0,177031.4
537,3,17110.62,1558290.0,177245.3
538,3,15555.11,1548367.0,177605.5
539,3,14141.01,1538375.0,178104.8
540,3,12855.46,1528311.0,178736.6
541,3,11686.78,1518170.0,179495.3
542,3,10624.35,1507945.0,180375.3
543,3,9658.497,1497632.0,181372.1
544,3,8780.452,1487226.0,182481.1
545,3,7982.229,1476723.0,183698.5
546,3,7256.572,1466116.0,185020.3
547,3,6596.883,1455400.0,186443.1
548,3,5997.167,1444570.0,187963.4
549,3,5451.97,1433619.0,189577.7
550,3,4956.336,1422543.0,191282.5
551,3,4505.76,1411334.0,193074.2
552,3,4096.145,1399987.0,194949.1
553,3,3723.769,1388495.0,196902.8
554,3,3385.244,1376852.0,198930.8
555,3,3077.495,1365052.0,201028.1
556,3,2797.722,1353088.0,203189.0
557,3,2543.384,1340955.0,205407.3
558,3,2312.167,1328646.0,207676.1
559,3,2101.97,1316157.0,209987.8
560,3,1910.882,1303484.0,212334.4
561,3,1737.166,1290621.0,214707.3
562,3,1579.241,1277567.0,217097.1
563,3,1435.674,1264319.0,219494.3
564,3,1305.158,1250876.0,221889.0
565,3,1186.507,1237237.0,224271.1
566,3,1078.643,1223404.0,226630.1
567,3,980.5847,1209378.0,228955.9
568,3,891.4406,1195161.0,231238.0
569,3,810.4005,1180758.0,233466.3
570,3,736.7278,1166173.0,235631.0
571,3,669.7525,1151412.0,237722.3
572,3,608.8659,1136482.0,239731.0
573,3,553.5145,1121389.0,241648.2
574,3,503.195,1106048.0,241319.2
575,3,457.45,1090671.0,243222.8
576,3,415.8636,1075156.0,244994.3
577,3,378.0578,1059512.0,246628.5
578,3,343.6889,1043751.0,248121.0
579,3,312.4445,1027883.0,249467.6
580,3,284.0404,1011920.0,250665.0
581,3,258.2186,995874.3,251710.4
582,3,234.7442,979756.6,252601.3
583,3,213.4038,963578.7,253335.8
584,3,194.0034,947352.2,253912.6
585,3,176.3668,931088.6,254330.6
586,3,160.3334,914799.3,254589.1
587,3,145.7577,898495.6,254687.6
588,3,132.507,882188.7,254626.0
589,3,120.4609,865889.7,254404.4
590,3,109.5099,849609.7,254023.2
591,3,99.55444,833359.4,253483.1
592,3,90.50404,817149.5,252785.1
593,3,82.2764,800989.9,251930.4
594,3,74.79673,784890.5,250920.0
595,3,67.99702,768860.5,249754.9
596,3,61.81548,752908.7,248435.7
597,3,56.19589,737044.1,246962.0
598,3,51.08717,721275.6,245332.9
599,3,46.44288,705612.9,243546.6
600,3,42.2208,690067.0,241600.8
601,3,38.38255,674650.4,239492.7
602,3,34.89323,659377.5,237220.4
603,3,31.72111,644264.5,234783.0
604,3,28.83738,629329.3,232181.5
605,3,26.2158,614590.9,229419.7
606,3,23.83254,600068.5,226504.4
607,3,21.66595,585780.5,223445.4
608,3,19.69632,571744.1,220255.8
609,3,17.90574,557974.1,216950.9
610,3,16.27795,544482.6,213548.2
611,3,14.79813,531278.8,210066.2
612,3,13.45285,518368.7,206524.0
613,3,12.22986,505755.4,202940.9
614,3,11.11806,493439.2,199335.4
615,3,10.10732,481418.0,195725.4
616,3,9.188477,469687.5,192127.4
617,3,8.353161,458241.5,188556.8
