id,simulation_id,time,G_t
812,3,1528848.0,1.207644e-131
813,3,1834617.0,3.583778e-158
814,3,2201540.0,5.263641e-190
815,3,2641849.0,3.324076e-228
816,3,3170218.0,4.8103e-274
817,3,3804262.0,0.0
818,3,4565114.0,0.0
819,3,5478137.0,0.0
820,3,6573764.0,0.0
821,3,7888517.0,0.0
822,3,9466221.0,0.0
823,3,11359460.0,0.0
824,3,13631360.0,0.0
825,3,16357630.0,0.0
826,3,19629160.0,0.0
827,3,23554990.0,0.0
828,3,28265980.0,0.0
829,3,33919180.0,0.0
830,3,40703020.0,0.0
831,3,48843620.0,0.0
832,3,58612340.0,0.0
833,3,70334810.0,0.0
834,3,84401780.0,0.0
835,3,101282100.0,0.0
836,3,121538600.0,0.0
837,3,145846300.0,0.0
838,3,175015500.0,0.0
839,3,210018600.0,0.0
840,3,252022400.0,0.0
841,3,302426800.0,0.0
842,3,362912200.0,0.0
843,3,435494600.0,0.0
844,3,522593500.0,0.0
845,3,627112300.0,0.0
846,3,752534700.0,0.0
847,3,903041700.0,0.0
848,3,1083650000.0,0.0
849,3,1300380000.0,0.0
850,3,1560456000.0,0.0
851,3,1872547000.0,0.0
852,3,2247057000.0,0.0
853,3,2696468000.0,0.0
854,3,3235762000.0,0.0
855,3,3882914000.0,0.0
856,3,4659497000.0,0.0
857,3,5591396000.0,0.0
858,3,6709675000.0,0.0
859,3,8051610000.0,0.0
860,3,9661932000.0,0.0
861,3,11594320000.0,0.0
862,3,13913180000.0,0.0
863,3,16695820000.0,0.0
864,3,20034980000.0,0.0
865,3,24041980000.0,0.0
866,3,28850370000.0,0.0
867,3,34620450000.0,0.0
868,3,41544540000.0,0.0
869,3,49853450000.0,0.0
870,3,59824140000.0,0.0
871,3,71788960000.0,0.0
872,3,86146760000.0,0.0
873,3,103376100000.0,0.0
874,3,124051300000.0,0.0
875,3,148861600000.0,0.0
876,3,178633900000.0,0.0
877,3,214360700000.0,0.0
878,3,257232800000.0,0.0
879,3,308679400000.0,0.0
880,3,370415300000.0,0.0
881,3,444498300000.0,0.0
